name,manufacturer,shelf,weight,cups,type,old_calories,old_protein,old_fat,old_sodium,old_fiber,old_carbohydrates,old_sugars,old_potassium,old_vitamins,rating,calories,protein,fat,sodium,fiber,carbohydrates,sugars,potassium,vitamins,fat_in_bowl,carb_in_bowl,protein_in_bowl,fat_fraction,carb_fraction,protein_fraction
100% Bran,Nabisco,3,1,0.33,cold,70,4,1,130,10,5,6,280,25,68.402973,2.470007057,0.14114326,0.035285815,4.587155963,0.352858151,0.176429076,0.211714891,9.880028229,0.882145378,3.03030303,15.15151515,12.12121212,0.022446689,0.606060606,0.114351058
100% Natural Bran,Quaker Oats,3,1,-1,cold,120,3,5,15,2,8,8,135,0,33.983679,4.237288136,0.105932203,0.176553672,0.529661017,0.070621469,0.282485876,0.282485876,4.766949153,0,-5.003531073,-8.005649718,-3.002118644,-0.037063193,-0.320225989,-0.028321874
All-Bran,Kelloggs,3,1,0.33,cold,70,4,1,260,9,7,5,320,25,59.425505,2.471751412,0.141242938,0.035310734,9.18079096,0.31779661,0.247175141,0.176553672,11.29943503,0.882768362,3.032443075,21.22710152,12.1297723,0.022462541,0.849084061,0.114431814
All-Bran with Extra Fiber,Kelloggs,3,1,0.5,cold,50,4,0,140,14,8,0,330,25,93.704912,1.765536723,0.141242938,0,4.943502825,0.494350282,0.282485876,0,11.65254237,0.882768362,0,16.01129944,8.005649718,0,0.640451977,0.075524997
Almond Delight,Ralston Purina,3,1,0.75,cold,110,2,2,200,1,14,8,-1,25,34.384843,3.884180791,0.070621469,0.070621469,7.062146893,0.035310734,0.494350282,0.282485876,-0.035310734,0.882768362,2.668549906,18.67984934,2.668549906,0.019767036,0.747193974,0.025174999
Apple Cinnamon Cheerios,General Mills,1,1,0.75,cold,110,2,2,180,1.5,10.5,10,70,25,29.509541,3.884180791,0.070621469,0.070621469,6.355932203,0.052966102,0.370762712,0.353107345,2.471751412,0.882768362,2.668549906,14.00988701,2.668549906,0.019767036,0.56039548,0.025174999
Apple Jacks,Kelloggs,2,1,1,cold,110,2,0,125,1,11,14,30,25,33.174094,3.884180791,0.070621469,0,4.413841808,0.035310734,0.388418079,0.494350282,1.059322034,0.882768362,0,11.00776836,2.001412429,0,0.440310734,0.018881249
Basic 4,General Mills,3,1.33,0.75,cold,130,3,2,210,2,18,8,100,25,37.038562,3.451425173,0.079648273,0.053098849,5.575379126,0.053098849,0.477889639,0.212395395,2.654942441,0.66373561,2.668549906,24.01694915,4.002824859,0.019767036,0.960677966,0.037762499
Bran Chex,Ralston Purina,1,1,0.67,cold,90,2,1,200,4,15,6,125,25,49.120253,3.177966102,0.070621469,0.035310734,7.062146893,0.141242938,0.529661017,0.211864407,4.413841808,0.882768362,1.493591365,22.40387048,2.98718273,0.01106364,0.896154819,0.028180969
Bran Flakes,Post,3,1,0.67,cold,90,3,0,210,5,13,5,190,25,53.313813,3.177966102,0.105932203,0,7.415254237,0.176553672,0.459039548,0.176553672,6.709039548,0.882768362,0,19.41668775,4.480774096,0,0.77666751,0.042271454
