name,manufacturer,shelf,weight,cups,type,old_calories,old_protein,old_fat,old_sodium,old_fiber,old_carbohydrates,old_sugars,old_potassium,old_vitamins,rating,calories,protein,fat,sodium,fiber,carbohydrates,sugars,potassium,vitamins,fat_in_bowl,carb_in_bowl,protein_in_bowl,sugar_in_bowl,fat_fraction,carb_fraction,protein_fraction,sugar_fraction
100% Bran,Nabisco,3,1,0.33,cold,70,4,1,130,10,5,6,280,25,68.402973,2.470007057,0.14114326,0.035285815,4.587155963,0.352858151,0.176429076,0.211714891,9.880028229,0.882145378,3.03030303,15.15151515,12.12121212,18.18181818,0.046620047,0.067340067,0.216450216,0.505050505
100% Natural Bran,Quaker Oats,3,1,-1,cold,120,3,5,15,2,8,8,135,0,33.983679,4.237288136,0.105932203,0.176553672,0.529661017,0.070621469,0.282485876,0.282485876,4.766949153,0,-5.003531073,-8.005649718,-3.002118644,-8.005649718,-0.076977401,-0.035580665,-0.053609262,-0.222379159
All-Bran,Kelloggs,3,1,0.33,cold,70,4,1,260,9,7,5,320,25,59.425505,2.471751412,0.141242938,0.035310734,9.18079096,0.31779661,0.247175141,0.176553672,11.29943503,0.882768362,3.032443075,21.22710152,12.1297723,15.16221537,0.04665297,0.094342673,0.216603077,0.421172649
All-Bran with Extra Fiber,Kelloggs,3,1,0.5,cold,50,4,0,140,14,8,0,330,25,93.704912,1.765536723,0.141242938,0,4.943502825,0.494350282,0.282485876,0,11.65254237,0.882768362,0,16.01129944,8.005649718,0,0,0.071161331,0.142958031,0
Almond Delight,Ralston Purina,3,1,0.75,cold,110,2,2,200,1,14,8,-1,25,34.384843,3.884180791,0.070621469,0.070621469,7.062146893,0.035310734,0.494350282,0.282485876,-0.035310734,0.882768362,2.668549906,18.67984934,2.668549906,10.67419962,0.041054614,0.083021553,0.047652677,0.296505545
Apple Cinnamon Cheerios,General Mills,1,1,0.75,cold,110,2,2,180,1.5,10.5,10,70,25,29.509541,3.884180791,0.070621469,0.070621469,6.355932203,0.052966102,0.370762712,0.353107345,2.471751412,0.882768362,2.668549906,14.00988701,2.668549906,13.34274953,0.041054614,0.062266164,0.047652677,0.370631931
Apple Jacks,Kelloggs,2,1,1,cold,110,2,0,125,1,11,14,30,25,33.174094,3.884180791,0.070621469,0,4.413841808,0.035310734,0.388418079,0.494350282,1.059322034,0.882768362,0,11.00776836,2.001412429,14.00988701,0,0.048923415,0.035739508,0.389163528
Basic 4,General Mills,3,1.33,0.75,cold,130,3,2,210,2,18,8,100,25,37.038562,3.451425173,0.079648273,0.053098849,5.575379126,0.053098849,0.477889639,0.212395395,2.654942441,0.66373561,2.668549906,24.01694915,4.002824859,10.67419962,0.041054614,0.106741996,0.071479015,0.296505545
Bran Chex,Ralston Purina,1,1,0.67,cold,90,2,1,200,4,15,6,125,25,49.120253,3.177966102,0.070621469,0.035310734,7.062146893,0.141242938,0.529661017,0.211864407,4.413841808,0.882768362,1.493591365,22.40387048,2.98718273,8.961548191,0.022978329,0.099572758,0.053342549,0.248931894
Bran Flakes,Post,3,1,0.67,cold,90,3,0,210,5,13,5,190,25,53.313813,3.177966102,0.105932203,0,7.415254237,0.176553672,0.459039548,0.176553672,6.709039548,0.882768362,0,19.41668775,4.480774096,7.467956826,0,0.08629639,0.080013823,0.207443245
Cap'n'Crunch,Quaker Oats,2,1,0.75,cold,120,1,2,220,0,12,12,35,25,18.042851,4.237288136,0.035310734,0.070621469,7.768361582,0,0.423728814,0.423728814,1.235875706,0.882768362,2.668549906,16.01129944,1.334274953,16.01129944,0.041054614,0.071161331,0.023826338,0.444758318
Cheerios,General Mills,1,1,1.25,cold,110,6,2,290,2,17,1,105,25,50.764999,3.884180791,0.211864407,0.070621469,10.24011299,0.070621469,0.600282486,0.035310734,3.707627119,0.882768362,1.601129944,13.60960452,4.803389831,0.800564972,0.024632768,0.060487131,0.085774818,0.022237916
Cinnamon Toast Crunch,General Mills,2,1,0.75,cold,120,1,3,210,0,13,9,45,25,19.823573,4.237288136,0.035310734,0.105932203,7.415254237,0,0.459039548,0.31779661,1.588983051,0.882768362,4.002824859,17.34557439,1.334274953,12.00847458,0.061581921,0.077091442,0.023826338,0.333568738
Clusters,General Mills,3,1,0.5,cold,110,3,2,140,2,13,7,105,25,40.400208,3.884180791,0.105932203,0.070621469,4.943502825,0.070621469,0.459039548,0.247175141,3.707627119,0.882768362,4.002824859,26.01836158,6.004237288,14.00988701,0.061581921,0.115637163,0.107218523,0.389163528
Cocoa Puffs,General Mills,2,1,1,cold,110,1,1,180,0,12,13,55,25,22.736446,3.884180791,0.035310734,0.035310734,6.355932203,0,0.423728814,0.459039548,1.942090395,0.882768362,1.000706215,12.00847458,1.000706215,13.00918079,0.01539548,0.053370998,0.017869754,0.361366133
Corn Chex,Ralston Purina,1,1,1,cold,110,2,0,280,0,22,3,25,25,41.445019,3.884180791,0.070621469,0,9.88700565,0,0.776836158,0.105932203,0.882768362,0.882768362,0,22.01553672,2.001412429,3.002118644,0,0.09784683,0.035739508,0.083392185
Corn Flakes,Kelloggs,1,1,1,cold,100,2,0,290,1,21,2,35,25,45.863324,3.531073446,0.070621469,0,10.24011299,0.035310734,0.741525424,0.070621469,1.235875706,0.882768362,0,21.01483051,2.001412429,2.001412429,0,0.093399247,0.035739508,0.05559479
Corn Pops,Kelloggs,2,1,1,cold,110,1,0,90,1,13,12,20,25,35.782791,3.884180791,0.035310734,0,3.177966102,0.035310734,0.459039548,0.423728814,0.706214689,0.882768362,0,13.00918079,1.000706215,12.00847458,0,0.057818581,0.017869754,0.333568738
Count Chocula,General Mills,2,1,1,cold,110,1,1,180,0,12,13,65,25,22.396513,3.884180791,0.035310734,0.035310734,6.355932203,0,0.423728814,0.459039548,2.29519774,0.882768362,1.000706215,12.00847458,1.000706215,13.00918079,0.01539548,0.053370998,0.017869754,0.361366133
Cracklin' Oat Bran,Kelloggs,3,1,0.5,cold,110,3,3,140,4,10,7,160,25,40.448772,3.884180791,0.105932203,0.105932203,4.943502825,0.141242938,0.353107345,0.247175141,5.649717514,0.882768362,6.004237288,20.01412429,6.004237288,14.00988701,0.092372881,0.088951664,0.107218523,0.389163528
Cream of Wheat (Quick),Nabisco,2,1,1,hot,100,3,0,80,1,21,0,-1,0,64.533816,3.531073446,0.105932203,0,2.824858757,0.035310734,0.741525424,0,-0.035310734,0,0,21.01483051,3.002118644,0,0,0.093399247,0.053609262,0
Crispix,Kelloggs,3,1,1,cold,110,2,0,220,1,21,3,30,25,46.895644,3.884180791,0.070621469,0,7.768361582,0.035310734,0.741525424,0.105932203,1.059322034,0.882768362,0,21.01483051,2.001412429,3.002118644,0,0.093399247,0.035739508,0.083392185
Crispy Wheat & Raisins,General Mills,3,1,0.75,cold,100,2,1,140,2,11,10,120,25,36.176196,3.531073446,0.070621469,0.035310734,4.943502825,0.070621469,0.388418079,0.353107345,4.237288136,0.882768362,1.334274953,14.67702448,2.668549906,13.34274953,0.020527307,0.06523122,0.047652677,0.370631931
Double Chex,Ralston Purina,3,1,0.75,cold,100,2,0,190,1,18,5,80,25,44.330856,3.531073446,0.070621469,0,6.709039548,0.035310734,0.63559322,0.176553672,2.824858757,0.882768362,0,24.01694915,2.668549906,6.671374765,0,0.106741996,0.047652677,0.185315966
Froot Loops,Kelloggs,2,1,1,cold,110,2,1,125,1,11,13,30,25,32.207582,3.884180791,0.070621469,0.035310734,4.413841808,0.035310734,0.388418079,0.459039548,1.059322034,0.882768362,1.000706215,11.00776836,2.001412429,13.00918079,0.01539548,0.048923415,0.035739508,0.361366133
Frosted Flakes,Kelloggs,1,1,0.75,cold,110,1,0,200,1,14,11,25,25,31.435973,3.884180791,0.035310734,0,7.062146893,0.035310734,0.494350282,0.388418079,0.882768362,0.882768362,0,18.67984934,1.334274953,14.67702448,0,0.083021553,0.023826338,0.407695125
Frosted Mini-Wheats,Kelloggs,2,1,0.8,cold,100,3,0,0,3,14,7,100,25,58.345141,3.531073446,0.105932203,0,0,0.105932203,0.494350282,0.247175141,3.531073446,0.882768362,0,17.51235876,3.752648305,8.756179379,0,0.077832706,0.067011577,0.243227205
"Fruit & Fibre Dates, Walnuts, and Oats",Post,3,1.25,0.67,cold,120,3,2,160,5,12,10,200,25,40.917047,3.389830508,0.084745763,0.056497175,4.519774011,0.141242938,0.338983051,0.282485876,5.649717514,0.706214689,2.98718273,17.92309638,4.480774096,14.93591365,0.045956657,0.079658206,0.080013823,0.41488649
Fruitful Bran,Kelloggs,3,1.33,0.67,cold,120,3,0,240,5,14,12,190,25,41.015492,3.185930929,0.079648273,0,6.371861858,0.132747122,0.371691942,0.318593093,5.044390638,0.66373561,0,20.91027911,4.480774096,17.92309638,0,0.092934574,0.080013823,0.497863788
Fruity Pebbles,Post,2,1,0.75,cold,110,1,1,135,0,13,12,25,25,28.025765,3.884180791,0.035310734,0.035310734,4.766949153,0,0.459039548,0.423728814,0.882768362,0.882768362,1.334274953,17.34557439,1.334274953,16.01129944,0.020527307,0.077091442,0.023826338,0.444758318
Golden Crisp,Post,1,1,0.88,cold,100,2,0,45,0,11,15,40,25,35.252444,3.531073446,0.070621469,0,1.588983051,0,0.388418079,0.529661017,1.412429379,0.882768362,0,12.50882768,2.274332306,17.0574923,0,0.05559479,0.040613077,0.47381923
Golden Grahams,General Mills,2,1,0.75,cold,110,1,1,280,0,15,9,45,25,23.804043,3.884180791,0.035310734,0.035310734,9.88700565,0,0.529661017,0.31779661,1.588983051,0.882768362,1.334274953,20.01412429,1.334274953,12.00847458,0.020527307,0.088951664,0.023826338,0.333568738
Grape Nuts Flakes,Post,3,1,0.88,cold,100,3,1,140,3,15,5,85,25,52.076897,3.531073446,0.105932203,0.035310734,4.943502825,0.105932203,0.529661017,0.176553672,3.001412429,0.882768362,1.137166153,17.0574923,3.411498459,5.685830765,0.017494864,0.075811077,0.060919615,0.157939743
Grape-Nuts,Post,3,1,0.25,cold,110,3,0,170,3,17,3,90,25,53.371007,3.884180791,0.105932203,0,6.002824859,0.105932203,0.600282486,0.105932203,3.177966102,0.882768362,0,68.0480226,12.00847458,12.00847458,0,0.302435656,0.214437046,0.333568738
Great Grains Pecan,Post,3,1,0.33,cold,120,3,3,75,3,13,4,100,25,45.811716,4.237288136,0.105932203,0.105932203,2.648305085,0.105932203,0.459039548,0.141242938,3.531073446,0.882768362,9.097329224,39.42175997,9.097329224,12.1297723,0.139958911,0.175207822,0.162452308,0.336938119
Honey Graham Ohs,Quaker Oats,2,1,1,cold,120,1,2,220,1,12,11,45,25,21.871292,4.237288136,0.035310734,0.070621469,7.768361582,0.035310734,0.423728814,0.388418079,1.588983051,0.882768362,2.001412429,12.00847458,1.000706215,11.00776836,0.03079096,0.053370998,0.017869754,0.305771343
Honey Nut Cheerios,General Mills,1,1,0.75,cold,110,3,1,250,1.5,11.5,10,90,25,31.072217,3.884180791,0.105932203,0.035310734,8.827683616,0.052966102,0.406073446,0.353107345,3.177966102,0.882768362,1.334274953,15.34416196,4.002824859,13.34274953,0.020527307,0.068196275,0.071479015,0.370631931
Honey-comb,Post,1,1,1.33,cold,110,1,0,180,0,14,11,35,25,28.742414,3.884180791,0.035310734,0,6.355932203,0,0.494350282,0.388418079,1.235875706,0.882768362,0,10.53374963,0.752410688,8.276517565,0,0.046816665,0.013435905,0.229903266
"Just Right Crunchy, Nuggets",Kelloggs,3,1,-1,cold,110,2,1,170,1,17,6,60,100,36.523683,3.884180791,0.070621469,0.035310734,6.002824859,0.035310734,0.600282486,0.211864407,2.118644068,3.531073446,-1.000706215,-17.01200565,-2.001412429,-6.004237288,-0.01539548,-0.075608914,-0.035739508,-0.166784369
Just Right Fruit & Nut,Kelloggs,3,1.3,0.75,cold,140,3,1,170,2,20,9,95,100,36.471512,3.802694481,0.08148631,0.027162103,4.617557584,0.054324207,0.543242069,0.244458931,2.580399826,2.716210343,1.334274953,26.68549906,4.002824859,12.00847458,0.020527307,0.118602218,0.071479015,0.333568738
Kix,General Mills,2,1,1.5,cold,110,2,1,260,0,21,3,40,25,39.241114,3.884180791,0.070621469,0.035310734,9.18079096,0,0.741525424,0.105932203,1.412429379,0.882768362,0.667137476,14.00988701,1.334274953,2.001412429,0.010263653,0.062266164,0.023826338,0.05559479
