Time Stamp,Time Zone,Name,PTID,Load
10/11/16 0:00,EDT,CAPITL,61757,1121
10/11/16 0:00,EDT,CENTRL,61754,1469.1
10/11/16 0:00,EDT,DUNWOD,61760,516.4
10/11/16 0:00,EDT,GENESE,61753,897
10/11/16 0:00,EDT,HUD VL,61758,844.7
10/11/16 0:00,EDT,LONGIL,61762,1783.3
10/11/16 0:00,EDT,MHK VL,61756,712.1
10/11/16 0:00,EDT,MILLWD,61759,219.7
10/11/16 0:00,EDT,N.Y.C.,61761,4589.2
10/11/16 0:00,EDT,NORTH,61755,477.9
10/11/16 0:00,EDT,WEST,61752,1511.9
10/11/16 0:05,EDT,CAPITL,61757,1113.4
10/11/16 0:05,EDT,CENTRL,61754,1414.5
10/11/16 0:05,EDT,DUNWOD,61760,519.5
10/11/16 0:05,EDT,GENESE,61753,891.6
10/11/16 0:05,EDT,HUD VL,61758,859.1
10/11/16 0:05,EDT,LONGIL,61762,1749.7
10/11/16 0:05,EDT,MHK VL,61756,711.4
10/11/16 0:05,EDT,MILLWD,61759,207.1
10/11/16 0:05,EDT,N.Y.C.,61761,4531.1
10/11/16 0:05,EDT,NORTH,61755,466.6
10/11/16 0:05,EDT,WEST,61752,1499.7
10/11/16 0:10,EDT,CAPITL,61757,1114.3
10/11/16 0:10,EDT,CENTRL,61754,1442.1
10/11/16 0:10,EDT,DUNWOD,61760,517
10/11/16 0:10,EDT,GENESE,61753,884.9
10/11/16 0:10,EDT,HUD VL,61758,849.7
10/11/16 0:10,EDT,LONGIL,61762,1744.3
10/11/16 0:10,EDT,MHK VL,61756,716.3
10/11/16 0:10,EDT,MILLWD,61759,213.8
10/11/16 0:10,EDT,N.Y.C.,61761,4528.2
10/11/16 0:10,EDT,NORTH,61755,463.6
10/11/16 0:10,EDT,WEST,61752,1493.4
10/11/16 0:15,EDT,CAPITL,61757,1111.9
10/11/16 0:15,EDT,CENTRL,61754,1439
10/11/16 0:15,EDT,DUNWOD,61760,501.9
